Al,Sc,V,Cr,Mn,Fe(II),Fe(III),Co,Cu,Zn,In,MA-Fe,MA-Co,c_2py,c_epox,c_uf1,c_uf3,c_uf4,avg_valence
0,0,0,0,0,0,0,50,0,0,50,50,50,0.36145857,0.0,0.0,0.047771459,0.0,2.5
0,0,0,0,0,0,0,50,0,50,0,50,50,0.322896368,0.0,0.0,0.101593953,0.0,2.0
0,0,0,0,0,0,0,50,50,0,0,50,50,0.203671388,0.098963488,0.0,0.124529565,0.0,2.0
0,0,0,0,0,0,50,0,0,0,50,50,50,0.339680745,0.0,0.0,0.070077824,0.0,3.0
0,0,0,0,0,0,50,0,0,50,0,50,50,0.36004175,0.0,0.0,0.064676791,0.0,2.5
0,0,0,0,0,0,50,50,0,0,0,50,50,0.367391218,0.0,0.0,0.056924662,0.0,2.5
0,0,0,0,0,0,100,0,0,0,0,50,50,0.282683628,0.0,0.0,0.120835101,0.0,3.0
0,0,0,0,0,50,0,0,0,0,50,50,50,0.356373563,0.0,0.0,0.072032999,0.0,2.5
0,0,0,0,0,50,0,0,0,50,0,50,50,0.358881535,0.0,0.0,0.059214962,0.0,2.0
0,0,0,0,0,50,0,0,50,0,0,50,50,0.267255653,0.0,0.0,0.134535563,0.0,2.0
0,0,0,0,0,50,0,50,0,0,0,50,50,0.386919897,0.0,0.0,0.06491823,0.0,2.0
0,0,0,0,0,50,50,0,0,0,0,50,50,0.305921121,0.0,0.0,0.089986159,0.0,2.5
0,0,0,0,0,100,0,0,0,0,0,50,50,0.352564863,0.0,0.0,0.084848599,0.0,2.0
0,0,0,0,50,0,0,0,0,0,50,50,50,0.368053994,0.0,0.0,0.073919356,0.0,2.5
0,0,0,0,50,0,0,0,0,50,0,50,50,0.345485399,0.0,0.0,0.066992364,0.0,2.0
0,0,0,0,50,0,0,0,50,0,0,50,50,0.159574947,0.241415383,0.0,0.104416334,0.0,2.0
0,0,0,0,50,0,50,0,0,0,0,50,50,0.364483044,0.0,0.0,0.080365815,0.0,2.5
0,0,0,0,50,50,0,0,0,0,0,50,50,0.35898832,0.0,0.0,0.086700819,0.0,2.0
0,0,0,0,100,0,0,0,0,0,0,50,50,0.315830877,0.0,0.0,0.106887557,0.0,2.0
0,0,0,50,0,0,0,0,0,0,50,50,50,0.34883443,0.0,0.0,0.071146433,0.0,3.0
0,0,0,50,0,0,0,0,50,0,0,50,50,0.302704955,0.0,0.0,0.099389993,0.0,2.5
0,0,0,50,0,50,0,0,0,0,0,50,50,0.324473917,0.0,0.0,0.089365993,0.0,2.5
0,0,0,100,0,0,0,0,0,0,0,50,50,0.313028765,0.0,0.0,0.106720732,0.0,3.0
0,0,50,0,0,0,0,0,0,0,50,50,50,0.326586665,0.0,0.0,0.077098719,0.0,3.0
0,0,50,0,0,0,0,0,0,50,0,50,50,0.353152032,0.0,0.0,0.080834251,0.0,2.5
0,0,50,0,0,0,0,50,0,0,0,50,50,0.328451202,0.0,0.0,0.088332384,0.0,2.5
0,0,50,0,0,0,50,0,0,0,0,50,50,0.319321415,0.0,0.0,0.11038741,0.0,3.0
0,0,50,0,0,50,0,0,0,0,0,50,50,0.316006587,0.0,0.0,0.095946433,0.0,2.5
0,0,50,0,50,0,0,0,0,0,0,50,50,0.334680848,0.0,0.0,0.07249367,0.0,2.5
0,0,50,50,0,0,0,0,0,0,0,50,50,0.280662049,0.0,0.0,0.117278776,0.0,3.0
0,0,100,0,0,0,0,0,0,0,0,50,50,0.279726219,0.0,0.0,0.114065845,0.0,3.0
0,50,0,0,0,0,0,0,0,50,0,50,50,0.360673,0.0,0.0,0.073139953,0.0,2.5
0,50,0,0,0,0,0,0,50,0,0,50,50,0.258433375,0.0,0.0,0.090039217,0.0,2.5
0,50,0,0,0,0,0,50,0,0,0,50,50,0.350092301,0.0,0.0,0.051228134,0.0,2.5
0,50,0,0,0,0,50,0,0,0,0,50,50,0.30017967,0.0,0.0,0.124423976,0.0,3.0
0,50,0,0,0,50,0,0,0,0,0,50,50,0.31953912,0.0,0.0,0.105203166,0.0,2.5
0,50,0,0,50,0,0,0,0,0,0,50,50,0.368315143,0.0,0.0,0.067707537,0.0,2.5
0,50,0,50,0,0,0,0,0,0,0,50,50,0.310046727,0.0,0.0,0.097709839,0.0,3.0
0,50,50,0,0,0,0,0,0,0,0,50,50,0.292025863,0.0,0.0,0.116928035,0.0,3.0
0,100,0,0,0,0,0,0,0,0,0,50,50,0.310706997,0.0,0.0,0.094035331,0.0,3.0
50,0,0,0,0,0,0,0,0,0,50,50,50,0.339362923,0.0,0.0,0.065908252,0.0,3.0
50,0,0,0,0,0,0,0,50,0,0,50,50,0.296719034,0.0,0.0,0.097090233,0.0,2.5
50,0,0,0,0,0,0,50,0,0,0,50,50,0.363420619,0.0,0.0,0.052206412,0.0,2.5
50,0,0,0,0,0,50,0,0,0,0,50,50,0.31947973,0.0,0.0,0.104546008,0.0,3.0
50,0,0,0,0,50,0,0,0,0,0,50,50,0.34542386,0.0,0.0,0.096843304,0.0,2.5
50,0,0,0,50,0,0,0,0,0,0,50,50,0.372694791,0.0,0.0,0.071200462,0.0,2.5
50,0,0,50,0,0,0,0,0,0,0,50,50,0.32132129,0.0,0.0,0.101884306,0.0,3.0
50,0,50,0,0,0,0,0,0,0,0,50,50,0.299117186,0.0,0.0,0.111115767,0.0,3.0
50,50,0,0,0,0,0,0,0,0,0,50,50,0.334450653,0.0,0.0,0.103837391,0.0,3.0
100,0,0,0,0,0,0,0,0,0,0,50,50,0.316256038,0.0,0.0,0.095141794,0.0,3.0
0,0,0,0,0,0,0,0,0,50,50,0,100,0.399195182,0.0,0.0,0.029749774,0.0,2.5
0,0,0,0,0,0,0,0,0,100,0,0,100,0.410933678,0.0,0.0,0.040557969,0.0,2.0
0,0,0,0,0,0,0,0,50,50,0,0,100,0.205442759,0.269785761,0.0,0.064917453,0.0,2.0
0,0,0,0,0,0,0,50,50,0,0,0,100,0.196098051,0.502748912,0.0,0.0,0.005231944,2.0
0,0,0,0,0,0,0,100,0,0,0,0,100,0.208421599,0.0,0.0,0.238025023,0.0,2.0
0,0,0,0,0,0,50,0,0,0,50,0,100,0.377226131,0.0,0.0,0.05779896,0.0,3.0
