Unnamed: 0,S1,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
225,0.4966608070019285,0.03332936507936507,0.3177324263038549,0.31164114114114116,0.11393816731197934,0.03179849340866289,0.012809482257126227,0.2389069033004181,0.07491607565011821,0.03848692810457515,0.2954706196581196
226,0.5333052959501557,0.030744047619047605,0.3406530612244898,0.3251103603603604,0.1162293206617388,0.031909604519773996,0.013511343804537517,0.2640308246597278,0.08441371158392436,0.04281283422459892,0.32228044871794875
227,0.5688157048904714,0.026942791005290994,0.3645767195767196,0.3362832832832833,0.11800400876060851,0.03172441933458882,0.014553907310451803,0.28820032322154016,0.09179472025216705,0.04141285403050108,0.34815455840455845
228,0.6037142857142858,0.022910714285714277,0.38723809523809527,0.34695945945945944,0.12031573389651529,0.03322457627118643,0.016315008726003482,0.313415932746197,0.09836524822695035,0.04116399286987521,0.3767163461538462
229,0.6303054442960985,0.02045138888888888,0.4063344671201814,0.3537605105105105,0.1245245805467558,0.03561346516007532,0.01570389761489237,0.32948750111200065,0.09996099290780143,0.04233808674985144,0.3944882478632478
230,0.6517951095287544,0.019798280423280412,0.41940287226001516,0.3515342842842843,0.12448754350971877,0.036373038292529816,0.015666860577855334,0.3351278059484625,0.09859180457052796,0.042858090711031874,0.40146563390313394
231,0.6671395688077931,0.020066137566137555,0.42790627362055944,0.3436221221221221,0.12352767022566387,0.03722473320778405,0.01725761101415551,0.332628339708804,0.10009180457052796,0.043586254703901754,0.3982957621082621
232,0.6812158680710083,0.019857473544973536,0.4336164021164021,0.329516016016016,0.12193507763307128,0.03763214061519146,0.019574267985262742,0.32452240310767133,0.10058904649330182,0.044607744107744096,0.38784419515669516
233,0.6944907036542551,0.01795006613756613,0.43551171579743014,0.3125613113113113,0.12002767022566388,0.038873038292529805,0.020029862323056032,0.3161032529727486,0.10305279747832939,0.04677074668251138,0.3744159544159545
234,0.705664045888345,0.01838458994708994,0.43537906273620564,0.2966468968968969,0.1213743791309789,0.04318801004394224,0.021605778553422526,0.3075947128072829,0.10557880220646179,0.050950782333135256,0.3635762108262109
235,0.7115848044305988,0.01967592592592592,0.43118442932728657,0.27731781781781784,0.11978178653838631,0.045243722536095404,0.02310393639713011,0.2956645167986241,0.10634554767533493,0.05425747672806495,0.3496374643874644
236,0.705701082925382,0.020037698412698406,0.42290929705215424,0.257710960960961,0.11827150064531267,0.04719750470809792,0.02541506689936009,0.2819565430121876,0.10633451536643027,0.0582293523469994,0.33492735042735045
237,0.6901255006675567,0.02086607142857142,0.4126496598639456,0.23691891891891892,0.1172159450897571,0.049290254237288125,0.028131762652705058,0.2670580464371497,0.10595862884160757,0.0605597147950089,0.32034935897435896
238,0.6664854620976116,0.021921626984126974,0.3998004535147392,0.21417042042042042,0.1156315851226094,0.05181826741996233,0.030278068644560785,0.2514325237968152,0.10701418439716313,0.06395751633986928,0.3033840811965812
239,0.6425513524205112,0.023130291005290994,0.38398828420257,0.19130355355355355,0.11490421995385036,0.056059165097300676,0.03296141167345355,0.23601123862052606,0.10801694247438928,0.06833531392354922,0.2889494301994302
240,0.621042451663947,0.02464517195767195,0.36404950869236585,0.16766616616616617,0.11307088662051704,0.059698289391085985,0.03662807834012022,0.21666509503899417,0.10773443656422382,0.07234422657952068,0.2725952635327635
241,0.6044016960886119,0.02619708994708994,0.3423450491307634,0.14675500500500502,0.11313467480151745,0.06487445072190832,0.03960403335272445,0.1968559884944993,0.10916863672182822,0.07823242226183401,0.2584496082621083
242,0.5937883597883598,0.027484788359788348,0.31849244142101285,0.12776326326326326,0.11283014587977629,0.06790246390458253,0.04384108978088035,0.17673366841621443,0.11067336485421594,0.08457318280847691,0.24565259971509973
243,0.5844320575582258,0.028314484126984122,0.2916643990929705,0.11376501501501501,0.1131315851226094,0.07218055555555555,0.04509482257126236,0.1563674050351392,0.10919385342789599,0.08956803327391562,0.2312815170940171
244,0.5632757256589033,0.03218485449735449,0.26242252456538173,0.10300025025025025,0.11218199773162814,0.07605092592592592,0.0475559433779329,0.1378916318239777,0.10906422379826637,0.09355248564072091,0.21880413105413107
245,0.5220208426049547,0.03604662698412697,0.229640589569161,0.09602852852852853,0.11349166959990613,0.08230131826741996,0.05145782431646305,0.12184178453874212,0.10828368794326243,0.09853773024361259,0.20809241452991453
246,0.4631348217376255,0.04018121693121692,0.1978461829176115,0.09147947947947947,0.11601018811842466,0.08944059949780288,0.057657843707581924,0.11035016161077008,0.11157171000788023,0.1049689047336106,0.20493785612535614
247,0.39944805419571777,0.043352843915343914,0.16969085411942555,0.08715665665665666,0.11638570143533185,0.09361691776522284,0.06480414969943765,0.1017326453755597,0.1142171000788022,0.11015191126955833,0.20565527065527067
248,0.34541833555852247,0.04373809523809523,0.1490204081632653,0.08653828828828829,0.11970256951777541,0.09877471751412428,0.06852268760907504,0.09609874566319723,0.11625413711583923,0.11498752228163991,0.2083637820512821
249,0.3030982791870642,0.046975198412698406,0.13530385487528346,0.08842717717717719,0.12305133169071922,0.10281191148775894,0.07009307737056428,0.09281936660439463,0.11700236406619385,0.11893345216874626,0.2127558760683761
250,0.27288639173218615,0.051138227513227504,0.12761526832955405,0.09396496496496495,0.12832601978958894,0.1085991839296924,0.07249864262167927,0.09363311389852623,0.11958668242710796,0.12530530798177855,0.21858190883190887
251,0.25125302872966426,0.05580985449735448,0.12276946334089192,0.0995543043043043,0.13484144862919942,0.11512719711236662,0.07732644948613535,0.09552307030809833,0.12450157604412923,0.13220310952663894,0.22781214387464388
252,0.2347352272165356,0.06087533068783068,0.12020143613000756,0.10476601601601603,0.140314697485236,0.12160883553044569,0.08234128369206903,0.09869187201613143,0.13018242710795902,0.13760685284214696,0.23699163105413104
253,0.22097000939524306,0.06281613756613756,0.11979402872260014,0.10858158158158158,0.1453270366459384,0.12682219083490268,0.08729687802986232,0.10245326631675711,0.1358140267927502,0.14405506040800156,0.2464383903133903
254,0.20892923898531376,0.06442857142857142,0.12034353741496598,0.11229729729729729,0.1497550158394931,0.13026694915254236,0.090217277486911,0.10710354950627167,0.13936052009456265,0.1472602495543672,0.2561025641025641
255,0.19953144933986056,0.06693849206349206,0.12302267573696146,0.11883183183183184,0.15381262466267742,0.1316930320150659,0.09258580570098894,0.11338452984609909,0.14263829787234042,0.14909506833036243,0.26739476495726494
256,0.19022625228699994,0.06727314814814814,0.12749508692365835,0.12411436436436436,0.1558229105557511,0.13038755492780915,0.09345617607135931,0.11975863653886072,0.14418833727344366,0.1477943157060804,0.2781112891737892
257,0.1819647678385996,0.07018055555555555,0.1335045351473923,0.13077852852852853,0.15855027572451014,0.13047080979284367,0.09327283304246656,0.12533858197669248,0.14527541371158392,0.1485876411170529,0.28636324786324785
258,0.17589808633733867,0.07119047619047619,0.1423843537414966,0.13781306306306304,0.16278792678634282,0.13342443502824858,0.0951413612565445,0.1312899653055778,0.14886170212765956,0.15243582887700532,0.293985576923077
259,0.17527807446966326,0.07312996031746033,0.14924263038548752,0.14443618618618617,0.16780335562595328,0.13810075329566854,0.10019691681210005,0.1378524597455742,0.15408510638297873,0.15711883541295305,0.3025587606837607
260,0.17429214260989961,0.07348181216931217,0.15389720332577475,0.1497002002002002,0.17093503852321168,0.13960091023226617,0.10123026953655226,0.14387631586750882,0.15774546887312846,0.15902772826302236,0.31192984330484336
261,0.17459288928447808,0.07267691798941799,0.1591628873771731,0.15273073073073073,0.1706778325315812,0.136388025737602,0.09978398293581539,0.15017367968448833,0.15734909377462572,0.15343365022776786,0.32090081908831913
262,0.17793512337437573,0.07484358465608464,0.16613227513227516,0.15877577577577578,0.1692447103914897,0.13046147206528563,0.09317839829358154,0.15451021557987132,0.15211741528762807,0.14497286591404238,0.3249136396011396
263,0.18331661969045146,0.07688062169312168,0.17387339380196523,0.16534659659659662,0.1658620008604169,0.1229052887633396,0.08585243358541787,0.1588843222726329,0.1443577620173365,0.13742612398494752,0.3256157407407408
264,0.19165440340206696,0.07680026455026455,0.17877475434618292,0.1686911911911912,0.15994225429230707,0.11398791588198368,0.08021718053131666,0.1642208581680159,0.13827974783293934,0.12905714002772825,0.32227439458689455
265,0.19877219008060132,0.07233101851851852,0.18248790627362058,0.1693023023023023,0.15327353435801164,0.10730241682360325,0.07614679076982742,0.16766797141416834,0.1344416863672183,0.12481263616557732,0.31570762108262107
266,0.20661442417049894,0.06526554232804233,0.18625661375661376,0.17084734734734733,0.1499803277406234,0.10546908349026993,0.07331345743649409,0.1695034397888681,0.1326591804570528,0.12165042582689639,0.3095297364672364
267,0.21445665826039662,0.05970006613756613,0.18962396069538928,0.1718586086086086,0.14750707888458678,0.10348744507219082,0.0702986232305604,0.1706727752572428,0.13005634357762016,0.11726005149534559,0.30602813390313394
268,0.22272481827622015,0.05706051587301586,0.19321655328798185,0.1731066066066066,0.14363979819312445,0.0982834274952919,0.06430046538685283,0.17210083622453515,0.12425059101654845,0.10766815210932856,0.3047857905982906
269,0.2307314938436434,0.055444444444444435,0.19421655328798185,0.17157282282282282,0.13476017834095974,0.08586605461393595,0.054665212332751595,0.172765901610177,0.11273522458628843,0.09228579916815209,0.2991063034188035
270,0.23925668792958513,0.05299867724867724,0.19503439153439153,0.16736836836836838,0.12189907700731353,0.06981889516635278,0.043139228233469065,0.17228281884767072,0.0997383766745469,0.07465012873836403,0.2866007834757835
271,0.2470781783118232,0.04623313492063491,0.19354988662131523,0.16064939939939943,0.10683427196996362,0.05356803201506591,0.030318789994182666,0.17009443110043593,0.08657683215130024,0.0578677956030897,0.26871848290598294
272,0.2532004153686397,0.036814484126984126,0.18962698412698414,0.15185960960960962,0.0920523876569283,0.04007674199623352,0.01914281559045957,0.1667012721288141,0.07600709219858157,0.04511883541295305,0.24829273504273508
273,0.2575774613064333,0.028140211640211632,0.1839939531368103,0.144007007007007,0.07936309593648558,0.02967804456999372,0.010559433779329065,0.16073243780209354,0.06752994483845548,0.03401950881362646,0.2266310541310542
274,0.2626996983632498,0.0204537037037037,0.17526832955404384,0.13718343343343342,0.0719011693848019,0.024510907093534207,0.004974209811906142,0.1515043442161136,0.058921197793538216,0.026555753614577137,0.20604184472934473
275,0.26961378133808045,0.01578075396825396,0.16557029478458052,0.12995570570570572,0.06570878798545111,0.02062170433145009,0.0017001163467132007,0.14273814607241347,0.05275059101654847,0.02077866904337492,0.18691720085470084
276,0.2752085991198141,0.010742394179894175,0.15529213907785336,0.12059109109109109,0.05853492510461887,0.01607517263025737,-0.0015554585999612233,0.132822732259882,0.04509850275807722,0.016191225985343626,0.16864921652421652
277,0.2778241606092074,0.007439814814814807,0.14556651549508695,0.10992292292292294,0.05171291407563846,0.012380492780916503,-0.0033684312584836198,0.12376077158022715,0.03942710795902285,0.013126757773816588,0.15256641737891738
278,0.27626637986451075,0.0058187830687830636,0.135973544973545,0.1002434934934935,0.04704419414134302,0.010343298807281853,-0.0038480705836726825,0.11436441004655576,0.0349602048857368,0.01150970489205783,0.13715188746438747
279,0.27118340503387234,0.005795304232804229,0.12436205593348451,0.09020095095095094,0.04353699792717743,0.009287586315128682,-0.004346228427380264,0.10461459538000771,0.03165445232466509,0.010545256486432954,0.12204896723646723
280,0.26423451021114575,0.005684193121693118,0.11164550264550266,0.07892092092092093,0.03964605577065978,0.008352322661644693,-0.004548089974791549,0.09382774367642262,0.027594168636721827,0.009205981382451968,0.10724394586894588
281,0.2578715324135885,0.0035496031746031706,0.09752154195011338,0.06573348348348348,0.03366766396808635,0.005509651600753291,-0.0056573589296102424,0.08179961747175518,0.021267139479905436,0.007630421865715978,0.09220299145299148
282,0.2521285664837067,0.0012433862433862387,0.08324338624338626,0.05302427427427428,0.02781375884860573,0.0026114249843063354,-0.0072314330036843165,0.0688863387005901,0.01474389282899921,0.006170429788076842,0.07794462250712252
