Unnamed: 0,S1,P10,C1,C2,C3
225,0.4966608070019285,0.2954706196581196,0.0579781755924805,0.5007380658585666,0.1332805133345746
226,0.5333052959501557,0.3222804487179487,0.0602947469539312,0.5362942971895903,0.1416629912731936
227,0.5688157048904714,0.3481545584045584,0.0586073306604341,0.5708937861186109,0.14817325700438
228,0.6037142857142858,0.3767163461538462,0.0588443034968308,0.6048965111147723,0.1544814077241148
229,0.6303054442960985,0.3944882478632478,0.0599311352395472,0.6297983677752527,0.1585686943152017
230,0.6517951095287544,0.4014656339031339,0.0604765331174498,0.6406139248533542,0.1575657155944692
231,0.6671395688077931,0.3982957621082621,0.0621902267442054,0.6412245827265348,0.1579636349743558
232,0.6812158680710083,0.3878441951566951,0.0640077490570466,0.6338920869816463,0.157202738055018
233,0.6944907036542551,0.3744159544159545,0.0656976134521924,0.6223022902033984,0.1576245622076766
234,0.705664045888345,0.3635762108262109,0.0715990982813846,0.6097874394261222,0.160370542888898
235,0.7115848044305988,0.3496374643874644,0.0758934541330529,0.5909735263165394,0.1598019595509665
236,0.705701082925382,0.3349273504273504,0.0806212467989707,0.5682794094617003,0.1587360274922971
237,0.6901255006675567,0.3203493589743589,0.0847083793014756,0.5429983807088092,0.157728311088637
238,0.6664854620976116,0.3033840811965812,0.0895378152912779,0.514553986453028,0.1573715857049351
239,0.6425513524205112,0.2889494301994302,0.0962366923314475,0.4840955026862824,0.1575775688963816
240,0.621042451663947,0.2725952635327635,0.1028804483402696,0.4483813354917716,0.1560916004127649
241,0.6044016960886119,0.2584496082621083,0.1112942572458183,0.4125913279776931,0.1571597115914675
242,0.5937883597883598,0.2456525997150997,0.1192425133510572,0.3761258551729638,0.1580201188796434
243,0.5844320575582258,0.2312815170940171,0.1256174971680574,0.3400086060089566,0.1571755413112411
244,0.5632757256589033,0.218804131054131,0.1325670678633859,0.3048212437963034,0.156417788054547
245,0.5220208426049547,0.2080924145299145,0.1421205006298551,0.2703386267066541,0.1567783252785237
246,0.4631348217376255,0.2049378561253561,0.1541702170802134,0.2400939406473943,0.160889003362234
247,0.3994480541957177,0.2056552706552706,0.1638703491070873,0.2139547283490375,0.1630397860027944
248,0.3454183355585224,0.2083637820512821,0.1715779960449867,0.1964162570455164,0.1668170794360203
